2018-10-18 07:56:02,058 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-10-18 07:57:10,507 [Worker-4: Creating project "KinematicFlee"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tdmu.edu.vn:KinematicFlee:0.0.1-SNAPSHOT @ D:\StudyDocuments\TDMU_4Years\Nam4_HK1\NhapMonPhatTrienGame\ThucHanh\Lab2\KinematicFlee\pom.xml.
2018-10-18 07:57:12,712 [Worker-4: Creating project "KinematicFlee"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KinematicFlee/src/main/java
2018-10-18 07:57:12,715 [Worker-4: Creating project "KinematicFlee"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /KinematicFlee/src/main/resources
2018-10-18 07:57:12,716 [Worker-4: Creating project "KinematicFlee"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /KinematicFlee/src/test/java
2018-10-18 07:57:12,716 [Worker-4: Creating project "KinematicFlee"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /KinematicFlee/src/test/resources
2018-10-18 07:57:14,783 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:57:14,820 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:57:14,825 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:57:14,859 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:58:39,750 [Worker-5: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tdmu.edu.vn:KinematicFlee:0.0.1-SNAPSHOT @ D:\StudyDocuments\TDMU_4Years\Nam4_HK1\NhapMonPhatTrienGame\ThucHanh\Lab2\KinematicFlee\pom.xml.
2018-10-18 07:58:42,262 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:58:42,272 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:58:42,276 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:58:42,287 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:58:44,505 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:58:44,524 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:58:44,527 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:58:44,541 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:58:51,406 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:58:51,422 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:58:51,424 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:58:51,445 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:59:16,871 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:59:16,877 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:59:16,879 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:59:16,884 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-18 07:59:19,525 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-18 07:59:19,545 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
